Name,2013_close,2014_close,2015_close,2016_close,2017_close,2018_close
DISCK,72.98826548672567,59.883789682539685,29.039940476190473,25.87075396825397,23.64296812749004,23.02
DISH,43.66115486725664,62.60444444444445,66.99803571428572,51.50972222222222,58.45,47.29730769230769
DLR,58.687876106194686,59.708333333333336,67.90416666666665,92.79595238095239,113.26482071713149,109.2046153846154
DLTR,52.03369911504425,56.034190476190474,74.9721626984127,83.54301587301588,82.03884462151395,111.80807692307691
DOV,82.3032743362832,84.34134920634921,67.55027777777777,67.55472222222222,85.40725099601595,103.50346153846155
DPS,46.46946902654867,59.352023809523814,80.23079365079364,91.36198412698413,91.81521912350597,102.76115384615385
DRE,16.14929203539823,17.63797619047619,20.230436507936506,24.335833333333333,27.77203187250996,26.065
DRI,50.2075221238938,50.26718253968254,65.24285714285715,65.05380952380953,82.76800796812749,97.27961538461538
DTE,67.89154867256637,75.85182539682539,80.57003968253969,91.5581746031746,106.65470119521913,104.43730769230768
DUK,69.64433628318585,73.84916666666668,74.78619047619047,78.79853174603174,84.15525896414343,78.62807692307692
DVA,59.4220796460177,71.18623015873015,77.40369047619048,68.98964285714285,63.500717131474104,77.18
DVN,57.85159292035398,67.48694444444445,52.99634920634921,35.85166666666667,37.67133466135458,42.42307692307692
EA,22.613831858407078,34.33334563492063,64.03817460317461,73.74619047619048,103.85509960159364,116.22846153846154
EBAY,53.354752212389386,53.416000000000004,44.10761904761905,27.067539682539685,35.06173306772909,40.04153846153846
ECL,91.30323008849557,108.53087301587301,113.56039682539684,115.24488095238095,129.02888446215138,136.78307692307692
ED,58.04995575221239,57.429682539682545,63.18678571428571,74.06690476190477,81.2005577689243,79.72769230769231
EFX,61.29575221238938,73.47428571428571,98.53162698412699,120.45750000000001,127.3598406374502,122.67192307692306
EIX,48.1233185840708,56.33888888888889,61.41019841269841,70.62916666666666,77.8478685258964,62.105384615384615
EL,68.60712389380531,73.05126984126984,83.52488095238095,88.75277777777778,99.35274900398407,133.0876923076923
EMN,74.29942477876105,82.87555555555555,73.27428571428571,69.61797619047618,83.83498007968129,98.03807692307691
EMR,60.721017699115045,65.14011904761905,53.33186507936507,52.221468253968254,61.038067729083664,72.17961538461539
EOG,74.01132743362832,99.0769246031746,85.31833333333334,83.70960317460317,95.68017928286852,113.62307692307692
EQIX,189.51939823008848,202.26761507936507,262.35345238095243,343.77674603174603,428.76097609561754,441.76346153846157
EQR,55.20066371681416,62.840873015873015,76.15539682539682,67.87626984126985,65.40637450199203,61.03730769230769
EQT,79.69743362831858,96.27234126984128,75.08726190476192,67.88253968253969,60.488486055776896,56.36653846153846
ES,42.42411504424779,46.116150793650796,50.02431818181818,55.264365079365085,60.63956175298805,61.29615384615385
ESRX,62.4911592920354,73.65693055555556,86.01531746031746,72.98486111111112,64.41139442231076,78.76596153846154
